name,group,kind,nnz,rows,cols,link
None,None,None,None,None,None,None
1138_bus,HB,Power Network Problem,4054,1138,1138,https://sparse.tamu.edu/MM/HB/1138_bus.tar.gz
494_bus,HB,Power Network Problem,1666,494,494,https://sparse.tamu.edu/MM/HB/494_bus.tar.gz
662_bus,HB,Power Network Problem,2474,662,662,https://sparse.tamu.edu/MM/HB/662_bus.tar.gz
685_bus,HB,Power Network Problem,3249,685,685,https://sparse.tamu.edu/MM/HB/685_bus.tar.gz
abb313,HB,Least Squares Problem,1557,313,176,https://sparse.tamu.edu/MM/HB/abb313.tar.gz
arc130,HB,Materials Problem,1037,130,130,https://sparse.tamu.edu/MM/HB/arc130.tar.gz
ash219,HB,Least Squares Problem,438,219,85,https://sparse.tamu.edu/MM/HB/ash219.tar.gz
ash292,HB,Least Squares Problem,2208,292,292,https://sparse.tamu.edu/MM/HB/ash292.tar.gz
ash331,HB,Least Squares Problem,662,331,104,https://sparse.tamu.edu/MM/HB/ash331.tar.gz
ash608,HB,Least Squares Problem,1216,608,188,https://sparse.tamu.edu/MM/HB/ash608.tar.gz
ash85,HB,Least Squares Problem,523,85,85,https://sparse.tamu.edu/MM/HB/ash85.tar.gz
ash958,HB,Least Squares Problem,1916,958,292,https://sparse.tamu.edu/MM/HB/ash958.tar.gz
bcspwr01,HB,Power Network Problem,131,39,39,https://sparse.tamu.edu/MM/HB/bcspwr01.tar.gz
bcspwr02,HB,Power Network Problem,167,49,49,https://sparse.tamu.edu/MM/HB/bcspwr02.tar.gz
bcspwr03,HB,Power Network Problem,476,118,118,https://sparse.tamu.edu/MM/HB/bcspwr03.tar.gz
bcspwr04,HB,Power Network Problem,1612,274,274,https://sparse.tamu.edu/MM/HB/bcspwr04.tar.gz
bcspwr05,HB,Power Network Problem,1623,443,443,https://sparse.tamu.edu/MM/HB/bcspwr05.tar.gz
bcspwr06,HB,Power Network Problem,5300,1454,1454,https://sparse.tamu.edu/MM/HB/bcspwr06.tar.gz
bcspwr07,HB,Power Network Problem,5824,1612,1612,https://sparse.tamu.edu/MM/HB/bcspwr07.tar.gz
bcspwr08,HB,Power Network Problem,6050,1624,1624,https://sparse.tamu.edu/MM/HB/bcspwr08.tar.gz
bcspwr09,HB,Power Network Problem,6511,1723,1723,https://sparse.tamu.edu/MM/HB/bcspwr09.tar.gz
bcspwr10,HB,Power Network Problem,21842,5300,5300,https://sparse.tamu.edu/MM/HB/bcspwr10.tar.gz
bcsstk01,HB,Structural Problem,400,48,48,https://sparse.tamu.edu/MM/HB/bcsstk01.tar.gz
bcsstk02,HB,Structural Problem,4356,66,66,https://sparse.tamu.edu/MM/HB/bcsstk02.tar.gz
bcsstk03,HB,Structural Problem,640,112,112,https://sparse.tamu.edu/MM/HB/bcsstk03.tar.gz
bcsstk04,HB,Structural Problem,3648,132,132,https://sparse.tamu.edu/MM/HB/bcsstk04.tar.gz
bcsstk05,HB,Structural Problem,2423,153,153,https://sparse.tamu.edu/MM/HB/bcsstk05.tar.gz
bcsstk06,HB,Structural Problem,7860,420,420,https://sparse.tamu.edu/MM/HB/bcsstk06.tar.gz
bcsstk07,HB,Duplicate Structural Problem,7860,420,420,https://sparse.tamu.edu/MM/HB/bcsstk07.tar.gz
bcsstk08,HB,Structural Problem,12960,1074,1074,https://sparse.tamu.edu/MM/HB/bcsstk08.tar.gz
bcsstk09,HB,Structural Problem,18437,1083,1083,https://sparse.tamu.edu/MM/HB/bcsstk09.tar.gz
bcsstk10,HB,Structural Problem,22070,1086,1086,https://sparse.tamu.edu/MM/HB/bcsstk10.tar.gz
bcsstk11,HB,Structural Problem,34241,1473,1473,https://sparse.tamu.edu/MM/HB/bcsstk11.tar.gz
bcsstk12,HB,Duplicate Structural Problem,34241,1473,1473,https://sparse.tamu.edu/MM/HB/bcsstk12.tar.gz
bcsstk13,HB,Computational Fluid Dynamics Problem,83883,2003,2003,https://sparse.tamu.edu/MM/HB/bcsstk13.tar.gz
bcsstk14,HB,Structural Problem,63454,1806,1806,https://sparse.tamu.edu/MM/HB/bcsstk14.tar.gz
bcsstk15,HB,Structural Problem,117816,3948,3948,https://sparse.tamu.edu/MM/HB/bcsstk15.tar.gz
bcsstk16,HB,Structural Problem,290378,4884,4884,https://sparse.tamu.edu/MM/HB/bcsstk16.tar.gz
bcsstk17,HB,Structural Problem,428650,10974,10974,https://sparse.tamu.edu/MM/HB/bcsstk17.tar.gz
bcsstk18,HB,Structural Problem,149090,11948,11948,https://sparse.tamu.edu/MM/HB/bcsstk18.tar.gz
bcsstk19,HB,Structural Problem,6853,817,817,https://sparse.tamu.edu/MM/HB/bcsstk19.tar.gz
bcsstk20,HB,Structural Problem,3135,485,485,https://sparse.tamu.edu/MM/HB/bcsstk20.tar.gz
bcsstk21,HB,Structural Problem,26600,3600,3600,https://sparse.tamu.edu/MM/HB/bcsstk21.tar.gz
bcsstk22,HB,Structural Problem,696,138,138,https://sparse.tamu.edu/MM/HB/bcsstk22.tar.gz
bcsstk23,HB,Structural Problem,45178,3134,3134,https://sparse.tamu.edu/MM/HB/bcsstk23.tar.gz
bcsstk24,HB,Structural Problem,159910,3562,3562,https://sparse.tamu.edu/MM/HB/bcsstk24.tar.gz
bcsstk25,HB,Structural Problem,252241,15439,15439,https://sparse.tamu.edu/MM/HB/bcsstk25.tar.gz
bcsstk26,HB,Structural Problem,30336,1922,1922,https://sparse.tamu.edu/MM/HB/bcsstk26.tar.gz
bcsstk27,HB,Structural Problem,56126,1224,1224,https://sparse.tamu.edu/MM/HB/bcsstk27.tar.gz
bcsstk28,HB,Structural Problem,219024,4410,4410,https://sparse.tamu.edu/MM/HB/bcsstk28.tar.gz
bcsstk29,HB,Structural Problem,619488,13992,13992,https://sparse.tamu.edu/MM/HB/bcsstk29.tar.gz
bcsstk30,HB,Structural Problem,2043492,28924,28924,https://sparse.tamu.edu/MM/HB/bcsstk30.tar.gz
bcsstk31,HB,Structural Problem,1181416,35588,35588,https://sparse.tamu.edu/MM/HB/bcsstk31.tar.gz
bcsstk32,HB,Structural Problem,2014701,44609,44609,https://sparse.tamu.edu/MM/HB/bcsstk32.tar.gz
bcsstk33,HB,Structural Problem,591904,8738,8738,https://sparse.tamu.edu/MM/HB/bcsstk33.tar.gz
bcsstm01,HB,Structural Problem,24,48,48,https://sparse.tamu.edu/MM/HB/bcsstm01.tar.gz
bcsstm02,HB,Structural Problem,66,66,66,https://sparse.tamu.edu/MM/HB/bcsstm02.tar.gz
bcsstm03,HB,Structural Problem,72,112,112,https://sparse.tamu.edu/MM/HB/bcsstm03.tar.gz
bcsstm04,HB,Structural Problem,66,132,132,https://sparse.tamu.edu/MM/HB/bcsstm04.tar.gz
bcsstm05,HB,Structural Problem,153,153,153,https://sparse.tamu.edu/MM/HB/bcsstm05.tar.gz
bcsstm06,HB,Structural Problem,420,420,420,https://sparse.tamu.edu/MM/HB/bcsstm06.tar.gz
bcsstm07,HB,Structural Problem,7252,420,420,https://sparse.tamu.edu/MM/HB/bcsstm07.tar.gz
bcsstm08,HB,Structural Problem,1074,1074,1074,https://sparse.tamu.edu/MM/HB/bcsstm08.tar.gz
bcsstm09,HB,Structural Problem,1083,1083,1083,https://sparse.tamu.edu/MM/HB/bcsstm09.tar.gz
bcsstm10,HB,Structural Problem,22092,1086,1086,https://sparse.tamu.edu/MM/HB/bcsstm10.tar.gz
bcsstm11,HB,Structural Problem,1473,1473,1473,https://sparse.tamu.edu/MM/HB/bcsstm11.tar.gz
bcsstm12,HB,Structural Problem,19659,1473,1473,https://sparse.tamu.edu/MM/HB/bcsstm12.tar.gz
bcsstm13,HB,Computational Fluid Dynamics Problem,21181,2003,2003,https://sparse.tamu.edu/MM/HB/bcsstm13.tar.gz
bcsstm19,HB,Structural Problem,817,817,817,https://sparse.tamu.edu/MM/HB/bcsstm19.tar.gz
bcsstm20,HB,Structural Problem,485,485,485,https://sparse.tamu.edu/MM/HB/bcsstm20.tar.gz
bcsstm21,HB,Structural Problem,3600,3600,3600,https://sparse.tamu.edu/MM/HB/bcsstm21.tar.gz
bcsstm22,HB,Structural Problem,138,138,138,https://sparse.tamu.edu/MM/HB/bcsstm22.tar.gz
bcsstm23,HB,Structural Problem,3134,3134,3134,https://sparse.tamu.edu/MM/HB/bcsstm23.tar.gz
bcsstm24,HB,Structural Problem,3562,3562,3562,https://sparse.tamu.edu/MM/HB/bcsstm24.tar.gz
bcsstm25,HB,Structural Problem,15439,15439,15439,https://sparse.tamu.edu/MM/HB/bcsstm25.tar.gz
bcsstm26,HB,Structural Problem,1922,1922,1922,https://sparse.tamu.edu/MM/HB/bcsstm26.tar.gz
bcsstm27,HB,Structural Problem,56126,1224,1224,https://sparse.tamu.edu/MM/HB/bcsstm27.tar.gz
beacxc,HB,Economic Problem,50409,497,506,https://sparse.tamu.edu/MM/HB/beacxc.tar.gz
beaflw,HB,Economic Problem,53403,497,507,https://sparse.tamu.edu/MM/HB/beaflw.tar.gz
beause,HB,Economic Problem,44551,497,507,https://sparse.tamu.edu/MM/HB/beause.tar.gz
blckhole,HB,Structural Problem,14872,2132,2132,https://sparse.tamu.edu/MM/HB/blckhole.tar.gz
bp_0,HB,Optimization Problem Sequence,3276,822,822,https://sparse.tamu.edu/MM/HB/bp_0.tar.gz
bp_1000,HB,Subsequent Optimization Problem,4661,822,822,https://sparse.tamu.edu/MM/HB/bp_1000.tar.gz
bp_1200,HB,Subsequent Optimization Problem,4726,822,822,https://sparse.tamu.edu/MM/HB/bp_1200.tar.gz
bp_1400,HB,Subsequent Optimization Problem,4790,822,822,https://sparse.tamu.edu/MM/HB/bp_1400.tar.gz
bp_1600,HB,Subsequent Optimization Problem,4841,822,822,https://sparse.tamu.edu/MM/HB/bp_1600.tar.gz
bp_200,HB,Subsequent Optimization Problem,3802,822,822,https://sparse.tamu.edu/MM/HB/bp_200.tar.gz
bp_400,HB,Subsequent Optimization Problem,4028,822,822,https://sparse.tamu.edu/MM/HB/bp_400.tar.gz
bp_600,HB,Subsequent Optimization Problem,4172,822,822,https://sparse.tamu.edu/MM/HB/bp_600.tar.gz
bp_800,HB,Subsequent Optimization Problem,4534,822,822,https://sparse.tamu.edu/MM/HB/bp_800.tar.gz
can_1054,HB,Structural Problem,12196,1054,1054,https://sparse.tamu.edu/MM/HB/can_1054.tar.gz
can_1072,HB,Structural Problem,12444,1072,1072,https://sparse.tamu.edu/MM/HB/can_1072.tar.gz
can_144,HB,Structural Problem,1296,144,144,https://sparse.tamu.edu/MM/HB/can_144.tar.gz
can_161,HB,Structural Problem,1377,161,161,https://sparse.tamu.edu/MM/HB/can_161.tar.gz
can_187,HB,Structural Problem,1491,187,187,https://sparse.tamu.edu/MM/HB/can_187.tar.gz
can_229,HB,Structural Problem,1777,229,229,https://sparse.tamu.edu/MM/HB/can_229.tar.gz
can_24,HB,Structural Problem,160,24,24,https://sparse.tamu.edu/MM/HB/can_24.tar.gz
can_256,HB,Structural Problem,2916,256,256,https://sparse.tamu.edu/MM/HB/can_256.tar.gz
can_268,HB,Structural Problem,3082,268,268,https://sparse.tamu.edu/MM/HB/can_268.tar.gz
can_292,HB,Structural Problem,2540,292,292,https://sparse.tamu.edu/MM/HB/can_292.tar.gz
can_445,HB,Structural Problem,3809,445,445,https://sparse.tamu.edu/MM/HB/can_445.tar.gz
can_61,HB,Structural Problem,557,61,61,https://sparse.tamu.edu/MM/HB/can_61.tar.gz
can_62,HB,Structural Problem,218,62,62,https://sparse.tamu.edu/MM/HB/can_62.tar.gz
can_634,HB,Structural Problem,7228,634,634,https://sparse.tamu.edu/MM/HB/can_634.tar.gz
can_715,HB,Structural Problem,6665,715,715,https://sparse.tamu.edu/MM/HB/can_715.tar.gz
can_73,HB,Structural Problem,377,73,73,https://sparse.tamu.edu/MM/HB/can_73.tar.gz
can_838,HB,Structural Problem,10010,838,838,https://sparse.tamu.edu/MM/HB/can_838.tar.gz
can_96,HB,Structural Problem,768,96,96,https://sparse.tamu.edu/MM/HB/can_96.tar.gz
curtis54,HB,2D/3D Problem,291,54,54,https://sparse.tamu.edu/MM/HB/curtis54.tar.gz
dwt_1005,HB,Structural Problem,8621,1005,1005,https://sparse.tamu.edu/MM/HB/dwt_1005.tar.gz
dwt_1007,HB,Structural Problem,8575,1007,1007,https://sparse.tamu.edu/MM/HB/dwt_1007.tar.gz
dwt_1242,HB,Structural Problem,10426,1242,1242,https://sparse.tamu.edu/MM/HB/dwt_1242.tar.gz
dwt_162,HB,Structural Problem,1182,162,162,https://sparse.tamu.edu/MM/HB/dwt_162.tar.gz
dwt_193,HB,Structural Problem,3493,193,193,https://sparse.tamu.edu/MM/HB/dwt_193.tar.gz
dwt_198,HB,Structural Problem,1392,198,198,https://sparse.tamu.edu/MM/HB/dwt_198.tar.gz
dwt_209,HB,Structural Problem,1743,209,209,https://sparse.tamu.edu/MM/HB/dwt_209.tar.gz
dwt_221,HB,Structural Problem,1629,221,221,https://sparse.tamu.edu/MM/HB/dwt_221.tar.gz
dwt_234,HB,Structural Problem,834,234,234,https://sparse.tamu.edu/MM/HB/dwt_234.tar.gz
dwt_245,HB,Structural Problem,1461,245,245,https://sparse.tamu.edu/MM/HB/dwt_245.tar.gz
dwt_2680,HB,Structural Problem,25026,2680,2680,https://sparse.tamu.edu/MM/HB/dwt_2680.tar.gz
dwt_307,HB,Structural Problem,2523,307,307,https://sparse.tamu.edu/MM/HB/dwt_307.tar.gz
dwt_310,HB,Structural Problem,2448,310,310,https://sparse.tamu.edu/MM/HB/dwt_310.tar.gz
dwt_346,HB,Structural Problem,3226,346,346,https://sparse.tamu.edu/MM/HB/dwt_346.tar.gz
dwt_361,HB,Structural Problem,2953,361,361,https://sparse.tamu.edu/MM/HB/dwt_361.tar.gz
dwt_419,HB,Structural Problem,3563,419,419,https://sparse.tamu.edu/MM/HB/dwt_419.tar.gz
dwt_492,HB,Structural Problem,3156,492,492,https://sparse.tamu.edu/MM/HB/dwt_492.tar.gz
dwt_503,HB,Structural Problem,6027,503,503,https://sparse.tamu.edu/MM/HB/dwt_503.tar.gz
dwt_512,HB,Structural Problem,3502,512,512,https://sparse.tamu.edu/MM/HB/dwt_512.tar.gz
dwt_59,HB,Structural Problem,267,59,59,https://sparse.tamu.edu/MM/HB/dwt_59.tar.gz
dwt_592,HB,Structural Problem,5104,592,592,https://sparse.tamu.edu/MM/HB/dwt_592.tar.gz
dwt_607,HB,Structural Problem,5131,607,607,https://sparse.tamu.edu/MM/HB/dwt_607.tar.gz
dwt_66,HB,Structural Problem,320,66,66,https://sparse.tamu.edu/MM/HB/dwt_66.tar.gz
dwt_72,HB,Structural Problem,222,72,72,https://sparse.tamu.edu/MM/HB/dwt_72.tar.gz
dwt_758,HB,Structural Problem,5994,758,758,https://sparse.tamu.edu/MM/HB/dwt_758.tar.gz
dwt_869,HB,Structural Problem,7285,869,869,https://sparse.tamu.edu/MM/HB/dwt_869.tar.gz
dwt_87,HB,Structural Problem,541,87,87,https://sparse.tamu.edu/MM/HB/dwt_87.tar.gz
dwt_878,HB,Structural Problem,7448,878,878,https://sparse.tamu.edu/MM/HB/dwt_878.tar.gz
dwt_918,HB,Structural Problem,7384,918,918,https://sparse.tamu.edu/MM/HB/dwt_918.tar.gz
dwt_992,HB,Structural Problem,16744,992,992,https://sparse.tamu.edu/MM/HB/dwt_992.tar.gz
eris1176,HB,Power Network Problem,18552,1176,1176,https://sparse.tamu.edu/MM/HB/eris1176.tar.gz
fs_183_1,HB,2D/3D Problem Sequence,998,183,183,https://sparse.tamu.edu/MM/HB/fs_183_1.tar.gz
fs_183_3,HB,Subsequent 2D/3D Problem,1069,183,183,https://sparse.tamu.edu/MM/HB/fs_183_3.tar.gz
fs_183_4,HB,Subsequent 2D/3D Problem,1069,183,183,https://sparse.tamu.edu/MM/HB/fs_183_4.tar.gz
fs_183_6,HB,Subsequent 2D/3D Problem,1000,183,183,https://sparse.tamu.edu/MM/HB/fs_183_6.tar.gz
fs_541_1,HB,2D/3D Problem Sequence,4282,541,541,https://sparse.tamu.edu/MM/HB/fs_541_1.tar.gz
fs_541_2,HB,Subsequent 2D/3D Problem,4282,541,541,https://sparse.tamu.edu/MM/HB/fs_541_2.tar.gz
fs_541_3,HB,Subsequent 2D/3D Problem,4282,541,541,https://sparse.tamu.edu/MM/HB/fs_541_3.tar.gz
fs_541_4,HB,Subsequent 2D/3D Problem,4273,541,541,https://sparse.tamu.edu/MM/HB/fs_541_4.tar.gz
fs_680_1,HB,2D/3D Problem Sequence,2184,680,680,https://sparse.tamu.edu/MM/HB/fs_680_1.tar.gz
fs_680_2,HB,Subsequent 2D/3D Problem,2424,680,680,https://sparse.tamu.edu/MM/HB/fs_680_2.tar.gz
fs_680_3,HB,Subsequent 2D/3D Problem,2471,680,680,https://sparse.tamu.edu/MM/HB/fs_680_3.tar.gz
fs_760_1,HB,2D/3D Problem Sequence,5739,760,760,https://sparse.tamu.edu/MM/HB/fs_760_1.tar.gz
fs_760_2,HB,Subsequent 2D/3D Problem,5739,760,760,https://sparse.tamu.edu/MM/HB/fs_760_2.tar.gz
fs_760_3,HB,Subsequent 2D/3D Problem,5816,760,760,https://sparse.tamu.edu/MM/HB/fs_760_3.tar.gz
gemat1,HB,Power Network Problem,46591,4929,10595,https://sparse.tamu.edu/MM/HB/gemat1.tar.gz
gemat11,HB,Power Network Problem Sequence,33108,4929,4929,https://sparse.tamu.edu/MM/HB/gemat11.tar.gz
gemat12,HB,Subsequent Power Network Problem,33044,4929,4929,https://sparse.tamu.edu/MM/HB/gemat12.tar.gz
gent113,HB,Statistical/Mathematical Problem,655,113,113,https://sparse.tamu.edu/MM/HB/gent113.tar.gz
gr_30_30,HB,2D/3D Problem,7744,900,900,https://sparse.tamu.edu/MM/HB/gr_30_30.tar.gz
gre_1107,HB,Directed Weighted Graph,5664,1107,1107,https://sparse.tamu.edu/MM/HB/gre_1107.tar.gz
