matrix time rows cols nnz iters method
1138_bus/1138_bus.mtx 0.0187422 1138 1138 4054 1024 native
1138_bus/1138_bus.mtx 0.0188794 1138 1138 4054 1024 best
494_bus/494_bus.mtx 0.00826546 494 494 1666 1024 native
494_bus/494_bus.mtx 0.00743982 494 494 1666 1024 best
662_bus/662_bus.mtx 0.00980305 662 662 2474 1024 native
662_bus/662_bus.mtx 0.0111393 662 662 2474 1024 best
685_bus/685_bus.mtx 0.0132674 685 685 3249 1024 native
685_bus/685_bus.mtx 0.0126721 685 685 3249 1024 best
abb313/abb313.mtx 0.0031139 313 176 1557 1024 native
abb313/abb313.mtx 0.00374049 313 176 1557 1024 best
arc130/arc130.mtx 0.00255909 130 130 1282 1024 native
arc130/arc130.mtx 0.00269929 130 130 1282 1024 best
ash219/ash219.mtx 0.000994984 219 85 438 1024 native
ash219/ash219.mtx 0.000893989 219 85 438 1024 best
ash292/ash292.mtx 0.00822528 292 292 2208 1024 native
ash292/ash292.mtx 0.00734326 292 292 2208 1024 best
ash331/ash331.mtx 0.00139056 331 104 662 1024 native
ash331/ash331.mtx 0.00151987 331 104 662 1024 best
ash608/ash608.mtx 0.00248918 608 188 1216 1024 native
ash608/ash608.mtx 0.00262232 608 188 1216 1024 best
ash85/ash85.mtx 0.00178286 85 85 523 1024 native
ash85/ash85.mtx 0.00195226 85 85 523 1024 best
ash958/ash958.mtx 0.00393474 958 292 1916 1024 native
ash958/ash958.mtx 0.00385357 958 292 1916 1024 best
bcspwr01/bcspwr01.mtx 0.000429179 39 39 131 1024 native
bcspwr01/bcspwr01.mtx 0.000531257 39 39 131 1024 best
bcspwr02/bcspwr02.mtx 0.000517879 49 49 167 1024 native
bcspwr02/bcspwr02.mtx 0.000550222 49 49 167 1024 best
bcspwr03/bcspwr03.mtx 0.00188573 118 118 476 1024 native
bcspwr03/bcspwr03.mtx 0.00164773 118 118 476 1024 best
bcspwr04/bcspwr04.mtx 0.00768029 274 274 1612 1024 native
bcspwr04/bcspwr04.mtx 0.00720178 274 274 1612 1024 best
bcspwr05/bcspwr05.mtx 0.00879597 443 443 1623 1024 native
bcspwr05/bcspwr05.mtx 0.00836612 443 443 1623 1024 best
bcspwr06/bcspwr06.mtx 0.024598 1454 1454 5300 1024 native
bcspwr06/bcspwr06.mtx 0.0253138 1454 1454 5300 1024 best
bcspwr07/bcspwr07.mtx 0.0276069 1612 1612 5824 1024 native
bcspwr07/bcspwr07.mtx 0.0275746 1612 1612 5824 1024 best
bcspwr08/bcspwr08.mtx 0.0274841 1624 1624 6050 1024 native
bcspwr08/bcspwr08.mtx 0.0278687 1624 1624 6050 1024 best
bcspwr09/bcspwr09.mtx 0.0189362 1723 1723 6511 1024 native
bcspwr09/bcspwr09.mtx 0.018897 1723 1723 6511 1024 best
bcspwr10/bcspwr10.mtx 0.0646199 5300 5300 21842 1024 native
bcspwr10/bcspwr10.mtx 0.0646846 5300 5300 21842 1024 best
bcsstk01/bcsstk01.mtx 0.00108484 48 48 400 1024 native
bcsstk01/bcsstk01.mtx 0.000850434 48 48 400 1024 best
bcsstk02/bcsstk02.mtx 0.00840267 66 66 4356 1024 native
bcsstk02/bcsstk02.mtx 0.00731111 66 66 4356 1024 best
bcsstk03/bcsstk03.mtx 0.00126471 112 112 640 1024 native
bcsstk03/bcsstk03.mtx 0.00128601 112 112 640 1024 best
bcsstk04/bcsstk04.mtx 0.00760391 132 132 3648 1024 native
bcsstk04/bcsstk04.mtx 0.00732978 132 132 3648 1024 best
bcsstk05/bcsstk05.mtx 0.00430128 153 153 2423 1024 native
bcsstk05/bcsstk05.mtx 0.0059265 153 153 2423 1024 best
bcsstk06/bcsstk06.mtx 0.014988 420 420 7860 1024 native
bcsstk06/bcsstk06.mtx 0.0150117 420 420 7860 1024 best
bcsstk07/bcsstk07.mtx 0.0152495 420 420 7860 1024 native
bcsstk07/bcsstk07.mtx 0.0149998 420 420 7860 1024 best
bcsstk08/bcsstk08.mtx 0.0279621 1074 1074 12960 1024 native
bcsstk08/bcsstk08.mtx 0.027897 1074 1074 12960 1024 best
bcsstk09/bcsstk09.mtx 0.0315517 1083 1083 18437 1024 native
bcsstk09/bcsstk09.mtx 0.0316411 1083 1083 18437 1024 best
bcsstk10/bcsstk10.mtx 0.0390812 1086 1086 22070 1024 native
bcsstk10/bcsstk10.mtx 0.0389963 1086 1086 22070 1024 best
bcsstk11/bcsstk11.mtx 0.0537232 1473 1473 34241 1024 native
bcsstk11/bcsstk11.mtx 0.0535366 1473 1473 34241 1024 best
bcsstk12/bcsstk12.mtx 0.0532726 1473 1473 34241 1024 native
bcsstk12/bcsstk12.mtx 0.0533736 1473 1473 34241 1024 best
bcsstk13/bcsstk13.mtx 0.132113 2003 2003 83883 1024 native
bcsstk13/bcsstk13.mtx 0.131685 2003 2003 83883 1024 best
bcsstk14/bcsstk14.mtx 0.103192 1806 1806 63454 1024 native
bcsstk14/bcsstk14.mtx 0.103271 1806 1806 63454 1024 best
bcsstk15/bcsstk15.mtx 0.21659 3948 3948 117816 1024 native
bcsstk15/bcsstk15.mtx 0.200948 3948 3948 117816 1024 best
bcsstk16/bcsstk16.mtx 0.856281 4884 4884 290378 1024 native
bcsstk16/bcsstk16.mtx 0.466653 4884 4884 290378 1024 best
bcsstk17/bcsstk17.mtx 1.29342 10974 10974 428650 1024 native
bcsstk17/bcsstk17.mtx 0.642267 10974 10974 428650 1024 best
bcsstk18/bcsstk18.mtx 0.410919 11948 11948 149090 1024 native
bcsstk18/bcsstk18.mtx 0.407487 11948 11948 149090 1024 best
bcsstk19/bcsstk19.mtx 0.0103808 817 817 6853 1024 native
bcsstk19/bcsstk19.mtx 0.0107792 817 817 6853 1024 best
