matrix time rows cols nnz iters method
494_bus/494_bus.mtx 0.010065 494 494 1666 1024 native
494_bus/494_bus.mtx 0.526417 494 494 1666 1024 opencl
494_bus/494_bus.mtx 0.272864 494 494 1666 1024 clgpu
662_bus/662_bus.mtx 0.0113565 662 662 2474 1024 native
662_bus/662_bus.mtx 0.531737 662 662 2474 1024 opencl
662_bus/662_bus.mtx 0.261218 662 662 2474 1024 clgpu
685_bus/685_bus.mtx 0.0137116 685 685 3249 1024 native
685_bus/685_bus.mtx 0.526342 685 685 3249 1024 opencl
685_bus/685_bus.mtx 0.263474 685 685 3249 1024 clgpu
abb313/abb313.mtx 0.00392223 313 176 1557 1024 native
abb313/abb313.mtx 0.521877 313 176 1557 1024 opencl
abb313/abb313.mtx 0.264252 313 176 1557 1024 clgpu
arc130/arc130.mtx 0.00212452 130 130 1282 1024 native
arc130/arc130.mtx 0.538465 130 130 1282 1024 opencl
arc130/arc130.mtx 0.268415 130 130 1282 1024 clgpu
ash219/ash219.mtx 0.000991632 219 85 438 1024 native
ash219/ash219.mtx 0.514901 219 85 438 1024 opencl
ash219/ash219.mtx 0.249383 219 85 438 1024 clgpu
ash292/ash292.mtx 0.00842376 292 292 2208 1024 native
ash292/ash292.mtx 0.536343 292 292 2208 1024 opencl
ash292/ash292.mtx 0.276882 292 292 2208 1024 clgpu
ash331/ash331.mtx 0.00169742 331 104 662 1024 native
ash331/ash331.mtx 0.508508 331 104 662 1024 opencl
ash331/ash331.mtx 0.254813 331 104 662 1024 clgpu
ash608/ash608.mtx 0.00238266 608 188 1216 1024 native
ash608/ash608.mtx 0.509779 608 188 1216 1024 opencl
ash608/ash608.mtx 0.270848 608 188 1216 1024 clgpu
ash958/ash958.mtx 0.00475087 958 292 1916 1024 native
ash958/ash958.mtx 0.513032 958 292 1916 1024 opencl
ash958/ash958.mtx 0.267082 958 292 1916 1024 clgpu
bcspwr01/bcspwr01.mtx 0.000345432 39 39 131 1024 native
