platform,name,speedup
Intel,Parboil S,0.93
Intel,Parboil M,1.00
Intel,Parboil L,3.90
AMD,Parboil S,0.86
AMD,Parboil M,1.00
AMD,Parboil L,1.98
Intel,NAS-CG S,0.97
Intel,NAS-CG W,4.55
Intel,NAS-CG A,5.96
Intel,NAS-CG B,5.22
Intel,NAS-CG C,5.97
Intel,NAS-CG D,7.75
Intel,Netlib 60,5.73
Intel,Netlib 80,4.32
Intel,Netlib 100,4.54
Intel,Netlib 120,3.91
Intel,Netlib 140,4.04
Intel,Netlib 160,4.18
Intel,Netlib-F 60,5.11
Intel,Netlib-F 80,4.17
Intel,Netlib-F 100,4.26
Intel,Netlib-F 120,3.67
Intel,Netlib-F 140,3.95
Intel,Netlib-F 160,4.06
AMD,NAS-CG S,1.00
AMD,NAS-CG W,2.71
AMD,NAS-CG A,3.19
AMD,NAS-CG B,2.43
AMD,NAS-CG C,2.92
AMD,NAS-CG D,12.47
AMD,Netlib 60,8.29
AMD,Netlib 80,16.71
AMD,Netlib 100,19.62
AMD,Netlib 120,20.18
AMD,Netlib 140,20.32
AMD,Netlib 160,20.55
AMD,Netlib-F 60,8.02
AMD,Netlib-F 80,15.31
AMD,Netlib-F 100,17.85
AMD,Netlib-F 120,18.01
AMD,Netlib-F 140,18.31
AMD,Netlib-F 160,18.17
Intel,Parboil Dense S,45.91
Intel,Parboil Dense M,315.37
AMD,Parboil Dense S,6.08
AMD,Parboil Dense M,159.16
