matrix time rows cols nnz iters method
1138_bus/1138_bus.mtx 0.0187227 1138 1138 4054 1024 native
1138_bus/1138_bus.mtx 0.0189303 1138 1138 4054 1024 best
494_bus/494_bus.mtx 0.00822261 494 494 1666 1024 native
494_bus/494_bus.mtx 0.0084417 494 494 1666 1024 best
662_bus/662_bus.mtx 0.0109763 662 662 2474 1024 native
662_bus/662_bus.mtx 0.00989335 662 662 2474 1024 best
685_bus/685_bus.mtx 0.0126515 685 685 3249 1024 native
685_bus/685_bus.mtx 0.0127341 685 685 3249 1024 best
abb313/abb313.mtx 0.0034249 313 176 1557 1024 native
abb313/abb313.mtx 0.00323448 313 176 1557 1024 best
arc130/arc130.mtx 0.0025873 130 130 1282 1024 native
arc130/arc130.mtx 0.00232571 130 130 1282 1024 best
ash219/ash219.mtx 0.00116205 219 85 438 1024 native
ash219/ash219.mtx 0.00112473 219 85 438 1024 best
ash292/ash292.mtx 0.00703328 292 292 2208 1024 native
ash292/ash292.mtx 0.00646123 292 292 2208 1024 best
ash331/ash331.mtx 0.0013855 331 104 662 1024 native
ash331/ash331.mtx 0.00157149 331 104 662 1024 best
ash608/ash608.mtx 0.00260928 608 188 1216 1024 native
ash608/ash608.mtx 0.0019779 608 188 1216 1024 best
ash85/ash85.mtx 0.00178975 85 85 523 1024 native
ash85/ash85.mtx 0.00164113 85 85 523 1024 best
ash958/ash958.mtx 0.00393179 958 292 1916 1024 native
ash958/ash958.mtx 0.00405274 958 292 1916 1024 best
bcspwr01/bcspwr01.mtx 0.000523162 39 39 131 1024 native
bcspwr01/bcspwr01.mtx 0.000551606 39 39 131 1024 best
bcspwr02/bcspwr02.mtx 0.000532616 49 49 167 1024 native
bcspwr02/bcspwr02.mtx 0.000445437 49 49 167 1024 best
bcspwr03/bcspwr03.mtx 0.00197793 118 118 476 1024 native
bcspwr03/bcspwr03.mtx 0.00198905 118 118 476 1024 best
bcspwr04/bcspwr04.mtx 0.00841214 274 274 1612 1024 native
bcspwr04/bcspwr04.mtx 0.00612474 274 274 1612 1024 best
bcspwr05/bcspwr05.mtx 0.00811136 443 443 1623 1024 native
bcspwr05/bcspwr05.mtx 0.0082272 443 443 1623 1024 best
bcspwr06/bcspwr06.mtx 0.0246728 1454 1454 5300 1024 native
bcspwr06/bcspwr06.mtx 0.0251395 1454 1454 5300 1024 best
bcspwr07/bcspwr07.mtx 0.0278085 1612 1612 5824 1024 native
bcspwr07/bcspwr07.mtx 0.0276408 1612 1612 5824 1024 best
bcspwr08/bcspwr08.mtx 0.0277374 1624 1624 6050 1024 native
bcspwr08/bcspwr08.mtx 0.0275552 1624 1624 6050 1024 best
bcspwr09/bcspwr09.mtx 0.0189041 1723 1723 6511 1024 native
bcspwr09/bcspwr09.mtx 0.0189299 1723 1723 6511 1024 best
bcspwr10/bcspwr10.mtx 0.0643418 5300 5300 21842 1024 native
bcspwr10/bcspwr10.mtx 0.0640713 5300 5300 21842 1024 best
bcsstk01/bcsstk01.mtx 0.00103231 48 48 400 1024 native
bcsstk01/bcsstk01.mtx 0.000897652 48 48 400 1024 best
bcsstk02/bcsstk02.mtx 0.00769338 66 66 4356 1024 native
bcsstk02/bcsstk02.mtx 0.00648255 66 66 4356 1024 best
bcsstk03/bcsstk03.mtx 0.00153314 112 112 640 1024 native
bcsstk03/bcsstk03.mtx 0.00161779 112 112 640 1024 best
bcsstk04/bcsstk04.mtx 0.00609311 132 132 3648 1024 native
bcsstk04/bcsstk04.mtx 0.00652157 132 132 3648 1024 best
bcsstk05/bcsstk05.mtx 0.00522629 153 153 2423 1024 native
bcsstk05/bcsstk05.mtx 0.0049487 153 153 2423 1024 best
bcsstk06/bcsstk06.mtx 0.0151651 420 420 7860 1024 native
