platform,name,speedup
Intel,NAS-CG S,0.97
Intel,NAS-CG W,4.55
Intel,NAS-CG A,5.96
Intel,NAS-CG B,5.22
Intel,NAS-CG C,5.97
Intel,NAS-CG D,7.75
Intel,Netlib 60,5.11
Intel,Netlib 80,4.17
Intel,Netlib 100,4.26
Intel,Netlib 120,3.67
Intel,Netlib 140,3.95
Intel,Netlib-C 160,4.06
Intel,Netlib-C 60,5.73
Intel,Netlib-C 80,4.32
Intel,Netlib-C 100,4.54
Intel,Netlib-C 120,3.91
Intel,Netlib-C 140,4.04
Intel,Netlib-C 160,4.18
AMD,NAS-CG,1.00
AMD,NAS-CG,2.71
AMD,NAS-CG,3.19
AMD,NAS-CG,2.43
AMD,NAS-CG,2.92
AMD,NAS-CG,12.47
AMD,Netlib,8.02
AMD,Netlib,15.31
AMD,Netlib,17.85
AMD,Netlib,18.01
AMD,Netlib,18.31
AMD,Netlib,18.17
AMD,Netlib-C,8.29
AMD,Netlib-C,16.71
AMD,Netlib-C,19.62
AMD,Netlib-C,20.18
AMD,Netlib-C,20.32
AMD,Netlib-C,20.55
