matrix method time rows cols nnz iters
CO gpu 9.59213 221119 221119 7666057 1024
CO integrated 12.5831 221119 221119 7666057 1024
CO native 32.4009 221119 221119 7666057 1024
Ga10As10H30 gpu 7.85439 113081 113081 6115633 1024
Ga10As10H30 integrated 9.87522 113081 113081 6115633 1024
Ga10As10H30 native 21.0471 113081 113081 6115633 1024
Ga19As19H42 gpu 10.7401 133123 133123 8884839 1024
Ga19As19H42 integrated 13.4184 133123 133123 8884839 1024
Ga19As19H42 native 29.3665 133123 133123 8884839 1024
Ga3As3H12 gpu 7.34739 61349 61349 5970947 1024
Ga3As3H12 integrated 9.76694 61349 61349 5970947 1024
Ga3As3H12 native 17.6577 61349 61349 5970947 1024
Ga41As41H72 gpu 21.9132 268096 268096 18488476 1024
Ga41As41H72 integrated 25.3178 268096 268096 18488476 1024
Ga41As41H72 native 70.0309 268096 268096 18488476 1024
GaAsH6 gpu 4.27455 61349 61349 3381809 1024
GaAsH6 integrated 5.97079 61349 61349 3381809 1024
GaAsH6 native 10.7612 61349 61349 3381809 1024
Ge87H76 gpu 9.49687 112985 112985 7892195 1024
Ge87H76 integrated 11.7654 112985 112985 7892195 1024
Ge87H76 native 25.245 112985 112985 7892195 1024
Ge99H100 gpu 10.0984 112985 112985 8451395 1024
Ge99H100 integrated 12.9035 112985 112985 8451395 1024
Ge99H100 native 26.764 112985 112985 8451395 1024
H2O gpu 3.18304 67024 67024 2216736 1024
H2O integrated 4.21149 67024 67024 2216736 1024
H2O native 7.48655 67024 67024 2216736 1024
Na5 gpu 0.306458 5832 5832 305630 1024
Na5 integrated 0.613681 5832 5832 305630 1024
Na5 native 0.834478 5832 5832 305630 1024
Si10H16 gpu 1.2379 17077 17077 875923 1024
Si10H16 integrated 1.55677 17077 17077 875923 1024
Si10H16 native 2.5549 17077 17077 875923 1024
Si2 gpu 0.0627515 769 769 17801 1024
Si2 integrated 0.144845 769 769 17801 1024
Si2 native 0.0322313 769 769 17801 1024
Si34H36 gpu 6.6584 97569 97569 5156379 1024
Si34H36 integrated 8.86521 97569 97569 5156379 1024
Si34H36 native 17.3778 97569 97569 5156379 1024
Si41Ge41H72 gpu 17.67 185639 185639 15011265 1024
Si41Ge41H72 integrated 24.2095 185639 185639 15011265 1024
Si41Ge41H72 native 49.3592 185639 185639 15011265 1024
Si5H12 gpu 1.1209 19896 19896 738598 1024
Si5H12 integrated 1.38869 19896 19896 738598 1024
Si5H12 native 2.24726 19896 19896 738598 1024
Si87H76 gpu 12.9687 240369 240369 10661631 1024
Si87H76 integrated 16.9653 240369 240369 10661631 1024
Si87H76 native 43.9231 240369 240369 10661631 1024
SiH4 gpu 0.166209 5041 5041 171903 1024
SiH4 integrated 0.399773 5041 5041 171903 1024
SiH4 native 0.411121 5041 5041 171903 1024
SiNa gpu 0.185153 5743 5743 198787 1024
SiNa integrated 0.505219 5743 5743 198787 1024
SiNa native 0.538898 5743 5743 198787 1024
SiO gpu 1.95125 33401 33401 1317655 1024
SiO integrated 2.38082 33401 33401 1317655 1024
SiO native 4.1501 33401 33401 1317655 1024
SiO2 gpu 13.0998 155331 155331 11283503 1024
SiO2 integrated 16.9317 155331 155331 11283503 1024
SiO2 native 36.6362 155331 155331 11283503 1024
benzene gpu 0.771568 8219 8219 242669 1024
benzene integrated 1.12594 8219 8219 242669 1024
benzene native 0.746715 8219 8219 242669 1024
