	Hα		Cα		HN	N	C'	Cβ	Ncorr-  Ncorr+
							
ALA	4.432847	52.26644	8.24	123.8	177.1	19	-0.2	0.0
ARG	4.35015		56.24026	8.23	120.5	176.5	30.3	1.45	0.0
ASN	4.806587	53.30902	8.3	118.7	175.5	39	1.15	0.0
ASP	4.725179	54.158222	8.34	120.4	177.2	40.8	1.18	0.0
CYS	4.65		57.791772	8.32	118.6	175.1	41.8	2.43	-0.4
GLN	4.405826	56.062813	8.32	119.8	176.3	30.1	1.57	0.0
GLU	4.364552	56.503798	8.42	120.2	176.1	29.7	1.8	0.0
GLY	3.97		45.486533	8.33	108.8	173.6	0	1.07	0.0
HIS	4.615947	55.660394	8.32	118.2	175.1	32	1.2	0.0
ILE	4.193333	61.206185	8.05	119.9	176.8	37.5	4.14	-0.4
LEU	4.402746	54.957697	8.16	121.8	177.1	41.9	1.5	0.0
LYS	4.36807		56.243301	8.29	120.4	176.5	32.3	1.55	0.0
MET	4.461933	55.367		8.28	119.6	175.5	32.8	1.33	0.0
PHE	4.430244	57.64624	8.3	120.3	175.8	39.3	1.25	0.0
PRO	4.658447	63.066266	0	0	176	31.7	0.6	0.0
SER	4.504638	58.144025	8.31	115.7	173.7	62.7	2.59	0.48
THR	4.324869	62.54202	8.15	113.6	175.2	68.1	3.2	0.0
TRP	4.412784	56.208648	8.15	121.3	175.8	28.3	1.64	-0.5
TYR	4.339301	57.33818	8.12	120.3	175.7	38.7	1.75	0.0
VAL	4.086605	62.512466	8.03	119.2	177.1	31.7	3.83	0.0
